term	term_var	term_var_approved	explanation	 
утилита	Утилиты, utilities, Утилила, utility		— это программа вспомогательного назначения, которая обеспечивает дополнительный сервис. Например, восстановление ошибочно удаленных файлов, дефрагментация файлов на диске и т. п. Часть утилит входит в состав операционной системы, а другая часть функционирует независимо от неё, т.е. автономно. Утилиты могут распространятся как по одиночке, так и в составе больших и мощных утилитных комплексов, например, Norton Utilities.	
computer vision	vision, зрение, компьютерное зрение, анализ изображений, анализ видео, искусственный интеллект, ai	от англ. computer — «компьютер» и vision — «зрение»	— это область науки об искусственном интеллекте. Ученые занимаются задачами, связанными с анализом изображений и видео. Цель работы — заставить камеру определенным способом обрабатывать изображение. Дальше «мозг» камеры работает по программе: отслеживает положение мяча на видео, захватывает лица людей и прочее. Пример: Face ID от Apple.	
nlp	natural language processing, Natural Language Processing, естественный язык, обработка языка, энэлпи, человеческие языки, ai, искуственный интеллект	Natural Language Processing, от англ. natural — «естественный», language — «язык» и processing — «обработка»	— это обработка естественного языка. Подраздел информатики и AI, посвященный тому, как компьютеры анализируют естественные (человеческие) языки. NLP позволяет применять алгоритмы машинного обучения для текста и речи. NLP используют, чтобы распознавать речь, делать машинный перевод, обобщать документы, выявлять спам, отвечать на вопросы. Пример: Siri или Алиса.	
rl	reinforcement, обучение, подкрепление, обучение с подкреплением, reinforcement learning, ии, искуственный интеллект, ai	Reinforcement Learning, от англ. reinforcement «подкрепление» и learning «обучение»	— это способ машинного обучения, при котором система обучается, взаимодействуя с некоторой средой. Затем она может принимать последовательность решений на основе моделей обучения. Программное обеспечение учится достигать цели в потенциально сложной и неопределенной среде. В такой модели машинного обучения ИИ сталкивается со сценарием, похожим на игру. Приложение AI использует метод проб и ошибок, чтобы найти творческое решение проблемы. Как только приложение ИИ изучает правильные модели ML, оно инструктирует машину, которой оно управляет, выполнять некоторые задачи, которые задает программист. Основываясь на правильном решении и выполнении задачи, ИИ получает награду. Однако, если ИИ делает неправильный выбор, ему грозят штрафы, такие как потеря призовых очков. Конечная цель приложения ИИ - накопить максимальное количество призовых очков, чтобы выиграть игру. Программист создает среду для обучения и задает “условия игры”.	
solid	SOLID, солид, объектно-ориентированное программирование, ооп		— это принципы объектно-ориентированного программирования. Аббревиатура представляет 5 прицнипов в объектно-ориентированном программировании: Single responsibility (принципы единственной ответственности), Open-closed (открытости / закрытости), Liskov substitution (подстановки Барбары Лисков), Interface segregation (разделения интерфейса) и Dependency inversion (инверсии зависимостей).	
ddd	DDD, Domain Driven Design, ДДД, domain driven design, объекты, доменно-ориентированный дизайн, дизайн	от англ. Domain Driven Design — «доменно-ориентированный дизайн»	— это принципы предметно-ориентированного проектирования, которые направлены на создание оптимальных систем объектов. Процесс разработки сводится к созданию программных абстракций, которые называются моделями предметных областей. В эти модели входит бизнес-логика, устанавливающая связь между реальными условиями области применения продукта и кодом. Вне подхода DDD, когда программист пишет код, больше внимания он уделяет технологиям и инфраструктуре, например, как отправить сообщение, как его получить, закодировать, сохранить в базу данных, в какую именно базу данных. Подход DDD говорит о том, что всё это, конечно, важно, но вторично. Бизнес важнее и должен стоять на первом месте. И чтобы вся эта штука заработала вместе, DDD учит нас (разработчиков) разговаривать с бизнесом на одном языке. Не на языке программирования, а на языке бизнеса. Это называется в DDD Единый язык (Ubiquitous language). 	
tdd	TDD, test driven development, Test Driven Development, тесты, разработка	от англ. Test Driven Development — «разработка, основанная на тестировании»	— разработка на основе тестов. Это методология разработки ПО, которая основывается на повторении коротких циклов разработки: изначально пишется тест, покрывающий желаемое изменение, затем пишется программный код, который реализует желаемое поведение системы и позволит пройти написанный тест. Затем проводится рефакторинг написанного кода с постоянной проверкой прохождения тестов. Рефакторинг — процесс изменения внутренней структуры программы, не затрагивающий её внешнего поведения и имеющий целью облегчить понимание её работы.	
event sourcing	Event Sourcing, источники событий, регистрация событий, генерация событий, события	от англ. event — «событие» и sourcing — «снабжение, источник»	— это подход работы с событиями, при котором хранится череда событий, а не финальное состояние. На их основе можно реконструировать состояние объекта, а именно, последовательность изменений. Пример: система контроля версий GIT, в которой можно восстановить любую версию файла на любой момент времени.	
cqrs	CQRS, Command and Query Responsibility Segregation, command and query responsibility segregation, CQS, Command-query separation, разделение ответственности на команды и запросы, команды, запросы	от англ. Command and Query Responsibility Segregation — «‎‎разделение ответственности на команды и запросы»	— это подход проектирования программного обеспечения, при котором код, изменяющий состояние, отделяется от кода, просто читающего это состояние. Подобное разделение может быть логическим и основываться на разных уровнях. Кроме того, оно может быть физическим и включать разные звенья (tiers), или уровни. В основе этого подхода лежит принцип Command-query separation (CQS) — «‎‎разделение команд и запросов». Основная идея CQS в том, что в объекте методы могут быть двух типов: Queries: Методы возвращают результат, не изменяя состояние объекта. Другими словами, у Query не никаких побочных эффектов. Commands: Методы изменяют состояние объекта, не возвращая значение.	
запрос	Запрос, request, слово, поисковая строка		— слово, словосочетание или отдельная фраза, которую вводит в строку поиска пользователь для получения списка полезных сайтов, которые отвечают на заданный запрос.	
rest api	Rest API, rest, api, REST AOI, restful, обмен данными, взаимодействие сайтов с сервером, взаимодействие веб-приложений с сервером, сервер		— это архитектурный стиль, способ взаимодействия сайтов и веб-приложений с сервером. Его также называют RESTful. Термин состоит из двух аббревиатур: API — программный интерфейс приложения и REST — передача состояния представления.	
rest	REST, Representational State Transfer, создание API, http	от англ. Representational State Transfer — «передача состояния представления»	— это способ создания API с помощью протокола HTTP. 	
api	API, Application Programming Interface, код, обмен данными, сервер	от англ. Application Programming Interface — «программный интерфейс приложения»	— это код, который позволяет двум приложениям обмениваться данными с сервера.	
unit-тестирование	юнит-тестирование, Unit-тестирование, тестирование, юнит-тесты, unit-тесты		— это разновидность тестирования в программной разработке, которое заключается в проверке работоспособности отдельных функциональных модулей, процессов или частей кода приложения. Unit-тестирование позволяет избежать ошибок или быстро исправить их при обновлении или дополнении ПО новыми компонентами, не тратя время на проверку программного обеспечения целиком. Unit-тесты пишутся для кода, в котором нет уверенности. Они проверяют в первую очередь результат, а не поведение программы или сайта. Разрабатываются в готовых фреймворках или в созданных под них вручную.	
django	Django, Джанго, джанго, свободный фреймворк, MVC, jango, жанго		— это свободный фреймворк для веб-приложений на языке Python, использующий шаблон проектирования MVC (Model, View, Controller — один из способов, как можно организовать код). Веб-фреймворк Django используется в сайтах Disqus, Mozilla, The Washington Times, Pinterest, YouTube, Google и др.	
mvc	MVC, организация кода, восприятие кода, разделение внешнего вида приложения	от англ. Model View Controller — «‎‎контроллер представления модели»	— это один из способов, как можно организовать код. Он описывает некоторые правила, как это нужно делать. Задача MVC — сделать так, чтобы код проще воспринимался, проще читался и проще и быстрее обрабатывался компьютером. Основная идея MVC — разделить внешний вид приложения от логики. Внешний вид — HTML-разметка документа и его CSS оформление. Логика — различные скрипты, функции, классы и.т.д. Шаблон MVC — это аббревиатура, которая состоит из первых букв тех составляющих, которые в нее входят: Модель и Контроллер (скрипты и логика) и Вид (HTML и CSS (шаблонизатор)).	
docker	Docker, докер, платформа контейнирезации, открытый исходный код, контейнер		— это платформа контейнеризации с открытым исходным кодом, с помощью которой можно автоматизировать создание приложений, их доставку и управление. Платформа позволяет быстрее тестировать и выкладывать приложения, запускать на одной машине требуемое количество контейнеров. Контейнер — это единая “капсула”, которая состоит из кода приложения, среды запуска, библиотеки и зависимостей.  Благодаря контейнеризации и использованию Docker разработчикам не нужно задумываться о том, в какой среде будет функционировать их приложение и будут ли в этой в среде необходимые для тестирования опции и зависимости. Достаточно упаковать приложение со всеми зависимостями и процессами в контейнер, чтобы запускать в любых системах: Linux, Windows и macOS. Платформа Docker позволила отделить приложения от инфраструктуры.	
контейнер	container, контейнеризация, докер, docker		— это единая “капсула”, которая состоит из кода приложения, среды запуска, библиотеки и зависимостей. Например, docker.	
sqlalchemy	SQLAlchemy, фреймворк, реляционные базы, базы данных, mysql, postgresql, oracle, sqlite		— это фреймворк для работы с реляционными базами данных в Python. Позволяет работать с базами данных MySQL, MS-SQL, PostgreSQL, Oracle, SQLite и другими.	
pymysql	PyMySQL, библиотека		— это библиотека, которая соединяет Python с MySQL, это чистая библиотека Python.	
json	JSON, джейсон, JavaScript	JavaScript Object Notation	— это текстовый формат обмена данными, основанный на JavaScript. 	
aiopika	Aiopika, коннектор, RabbitMQ, aiorabbit, aio-pi, обмен данными		— это коннектор к RabbitMQ. Этот брокер сообщений используется в крупных приложениях для асинхронного отказоустойчивого обмена данными. Альтернативы: aiorabbit, aio-pi.	
pytest	PyTest, пайтест, Пайтест, среда тестирования, pypy, питест		— это среда тестирования Python, созданная в рамках проекта PyPy. Его можно использовать для написания различных типов тестов программного обеспечения, включая модульные тесты, интеграционные тесты, сквозные тесты и функциональные тесты.	
selenium	Selenium, селениум, Селениум		— это набор программ с открытым исходным кодом, которые применяют для тестирования веб-приложений и администрирования сайтов локально и в сети. Программы Selenium позволяют автоматизировать действия браузера.	
tcpdump	утилита, unix, тисипидамп, ти си пи думп, ти си пи дамп		— это утилита UNIX, позволяющая перехватывать и анализировать сетевой трафик, проходящий через компьютер, на котором запущена данная программа. Для выполнения программы требуется наличие прав суперпользователя и прямой доступ к устройству. Основные назначения tcpdump: отладка сетевых приложений и отладка сети и сетевой конфигурации в целом.	
wireshark	захват сетевого трафика, запись сетевого трафика, анализ сетевого трафика, сниффер, sniffer		— это программа для захвата, записи и анализа сетевого трафика, то есть она является сниффером (sniffer) и анализатором. Wireshark позволяет: захватывать сетевой трафик и обмениваться захваченными пакетами; просматривать содержимое пакетов в структурированном виде и «как есть»; отбирать сетевые пакеты по гибким критериям; анализировать отдельные пакеты, сеансы и статистику на множестве пакетов; восстанавливать потоки данных, содержащиеся в наборах пакетов.	
jira	Jira, Jira software, система отслеживания ошибок, коммерческая система, взаимодействие с пользователями, инструмент управления проектами, жира, джира		— это система отслеживания ошибок. Предназначена для организации взаимодействия с пользователями, хотя в некоторых случаях используется и для управления проектами.	
redmine	Redmine, управление проектом, диаграмма Ганта, гибкое веб-приложение, календарь, вики, форумы, баг-трекеры, редмин, рэдмин, рэдмайн		— это гибкое веб-приложение для управления проектом, которое включает в себя диаграммы Ганта, календарь, вики, форумы, настройку ролей и уведомления по электронной почте.	
http	HTTP, протокол, обмен данными, хттп		— это протокол, позволяющий получать различные ресурсы, например HTML-документы. Протокол HTTP лежит в основе обмена данными в Интернете.	
http/2	HTTP/2, http2, http 2, сетевой протокол http, доступ к интернету, хттп2, хттп 2		— это вторая крупная версия сетевого протокола HTTP, используемая для доступа к Интернету.	
gitlab	GitLab, веб-инструмент, Гитлаб, джитлаб, открытый исходный код, devops, git, гитлаб		— это веб-инструмент жизненного цикла DevOps с открытым исходным кодом, представляющий систему управления репозиториями кода для Git с собственной Вики, системой отслеживания ошибок, CI/CD пайплайном и другими функциями.	
devops	DevOps, девопс, development, operations	от англ. development — «разработка» и operations — «эксплуатация»	— это методология разработки, которая помогает наладить эффективное взаимодействие разработчиков с другими IT-специалистами. DevOps — это набор процессов и инструментов, которые позволяют компании создавать и улучшать продукты быстрее, чем при использовании традиционных подходов к разработке программного обеспечения. 	
ci/cd	CICD, ci cd, автоматизация тестирования, доставка модулей, ci/cd, CI/CD	от англ. Continuous Integration — «‎‎непрерывная интеграция», от англ. Continuous Delivery — «‎‎непрерывная доставка»	— это технология автоматизации тестирования и доставки новых модулей разрабатываемого проекта заинтересованным сторонам (разработчики, аналитики, инженеры качества, конечные пользователи и др.).	
flask	Flask, Фласк, фласк, фреймфорк, веб-приложения, флэск, flusk		— это фреймворк для создания веб-приложений на языке программирования Python. Относится к категории так называемых микрофреймворков — минималистичных каркасов веб-приложений, сознательно предоставляющих лишь самые базовые возможности. С его помощью можно создавать небольшие приложения, для которых не нужен широкий спектр возможностей большого фреймворка — он представляет собой скелет, на который можно установить то, что нужно разработчику. 	
kubernetes	Kubernetes, платформа, открытый исходный код, контейнеризованные рабочие нагрузки и сервисы		— это портативная расширяемая платформа с открытым исходным кодом для управления контейнеризованными рабочими нагрузками и сервисами, которая облегчает как декларативную настройку, так и автоматизацию. У платформы есть большая, быстро растущая экосистема. Сервисы, поддержка и инструменты Kubernetes широко доступны.	
kafka apache	Kafka Apache, kafka, apache, брокер сообщений, система обмена, java, scala, кафка		— это брокер сообщений, распределенная система обмена сообщениями между серверными приложениями в режиме реального времени. Благодаря высокой пропускной способности, масштабируемости и надежности применяется в компаниях, работающих с большими объемами данных. Написана на языках Java и Scala.	
roadrunner	RoadRunner, PHP, сервер с открытым исходным кодом, Go		— это высокопроизводительный сервер приложения для PHP с открытым исходным кодом, написанный на языке программирования Go. RoadRunner позволяет разработчикам ПО максимизировать свои стеки и писать небольшие PHP-приложения с более простым и чистым кодом, а также запускать новые серверы.	
mongodb	MongoDB, система управления базами данных, субд, СУБД, базы данных, модель данных, Binary Java Script, NoSQL, монгодб		— это система управления базами данных, которая работает с документоориентированной моделью данных. В отличие от реляционных СУБД, MongoDB не требуются таблицы, схемы или отдельный язык запросов. Информация хранится в виде документов либо коллекций (язык Binary Java Script). Разработчики позиционируют продукт как промежуточное звено между классическими СУБД и NoSQL.	
redis	Redis, Рэдис, система управления базами данных, BSD, ключ-значение, редис		— это система управления базами данных класса NoSQL с открытым исходным кодом (лицензия BSD), работающая со структурами данных типа «ключ — значение», которая хранит данные в памяти, доступ к которым осуществляется по ключу доступа. Также Редис это — кэш и брокер сообщений.	
solidity	Solidity, ООП, язык программирования, Ethereum		— это объектно-ориентированный, предметно-ориентированный язык программирования самовыполняющихся контрактов для платформы Ethereum.	
evm	EVM, евм, виртуальная вычислительная среда, сеть Ethereum, Ethereum, алгоритмы	Ethereum Virtual Machine	— это виртуальная вычислительная среда, распределенный компьютер, отвечающий за выполнение алгоритмов в сети Ethereum, называемых смарт-контрактами.	
rust	Rust, язык программирования, мультипарадигменный, типажи, объектная система		— это мультипарадигменный компилируемый язык программирования общего назначения, сочетающий парадигмы функционального и процедурного программирования с объектной системой, основанной на типажах. Ключевые приоритеты языка: безопасность, скорость и параллелизм. Rust пригоден для системного программирования, в частности, он рассматривается как перспективный язык для разработки ядер операционных систем. Rust сопоставим по скорости и возможностям с C++/Си, однако даёт большую безопасность при работе с памятью, что обеспечивается встроенными в язык механизмами контроля ссылок.	
Go	go, Golang, golang, многопоточный язык программирования, язык программирования, Google		— это компилируемый многопоточный язык программирования, разработанный внутри компании Google. Язык Go разрабатывался как язык программирования для создания высокоэффективных программ, работающих на современных распределённых системах и многоядерных процессорах. Он может рассматриваться как попытка создать замену языкам С и C++ с учётом изменившихся компьютерных технологий и накопленного опыта разработки крупных систем. В результате получился язык, «который не стал прорывом, но тем не менее явился отличным инструментом для разработки крупных программных проектов».	
web 3.0	Web 3.0, третье поколение, интернет, web3, web 3, ML, данные, Интернет		— это грядущее третье поколение Интернета, в котором веб-сайты и приложения смогут обрабатывать информацию почти как человек, с помощью таких технологий, как машинное обучение (ML), большие данные, технологии децентрализованного реестра (DLT) и др. Представить Web 3.0 можно еще так: данные будут связаны между собой децентрализованным образом, что станет огромным шагом вперед по сравнению с нашим нынешним поколением Интернета (Web 2.0), где данные в основном хранятся в централизованных репозиториях.	
defi	DeFi, decentralized finance, de fi, финансовые инструменты, блокчейн, децентрализованное кредитование, инвестиционные платформы	Decentralized Finance	— это финансовые инструменты в виде сервисов и приложений, созданных на блокчейне. Главная задача децентрализованных финансов — стать альтернативой банковскому сектору и заменить традиционные технологии нынешней финансовой системы протоколами с открытым исходным кодом. То есть открыть большому количеству людей доступ к децентрализованному кредитованию и новым инвестиционным платформам, а также позволить им получать пассивный доход от криптовалютных активов.	
nginx	NGINX, почтовый прокси, веб-сервер		— это веб-сервер и почтовый прокси, который работает под управлением операционных систем семейства Linux/Unix и Microsoft.	
асинхронность	Асинхронность, процессы без ожидания завершения		— это возможность выполнения программой задач и процессов без ожидания их завершения. То есть если предыдущий процесс все еще находится на этапе выполнения, асинхронная программа может легко перейти к обработке следующих задач.	
mrcp	MRCP, Media Resource Control Protocol, протокол управления медиа-ресурсами, передача данных	от англ. Media Resource Control Protocol — «‎‎протокол управления медиа-ресурсами»	— это протокол передачи данных, используемый серверами для предоставления различных услуг для своих клиентов. MRCP опирается на другие протоколы, в частности, потоковый протокол реального времени (протокол RTSP) или протокол установления сеанса связи (протокол SIP) для установления и управления сеансом аудиопотоков между клиентом и сервером. MRCP использует похожий формат передачи сигналов с открытым текстом, как HTTP и многие другие интернет-протоколы, в которых каждое сообщение содержит 3 раздела: первая строка, заголовок и тело. Первая строка указывает на тип сообщения, а также коды отклика. Заголовок содержит ряд строк вида <Заголовок>: . Тело, длина которого указана в заголовке, содержит данные сообщения.	
rtp	RTP, Real-time Transport Protocol, ртп, протокол, реального времени, транспортный, передача мультимедиа-данных	от англ. Real-time Transport Protocol — «транспортный протокол реального времени»	— это протокол, который определяет стандарт пакетов для передачи мультимедиа-данных (аудио и видео) через Интернет. RTP широко используется в коммуникационных и развлекательных системах, использующих потоковые медиа, – телефонии, видеоконференциях, онлайн-телевидении, веб-сервисах push-to-talk и т.д. RTP – один из основных протоколов VoIP. Он работает совместно с протоколом SIP, который отвечает за установление сессий (соединений) между конечными точками.	
sdp	Session Description Protocol, SDP, сетевой протокол, передача потоковых данных	от англ. Session Description Protocol — «сетевой протокол для описания сессии»	— это сетевой протокол прикладного уровня, который предназначен для описания сессии передачи потоковых данных, включая телефонию, Интернет-радио, приложения мультимедиа. Сессия SDP может реализовывать несколько потоков данных. Несмотря на то, что SDP предоставляет возможность описания мультимедиа-данных, в нём не хватает механизмов согласования параметров сессии, которые намерены использовать партнеры.	
sip	SIP, сип, зип, СИП, Session Initiation Protocol, установление сеанса, протокол, обмен мультимедийным содержимым, передача данных	от англ. Session Initiation Protocol — «протокол установления сеанса»	— это протокол передачи данных, описывающий способ установления и завершения пользовательского сеанса связи, включающего обмен мультимедийным содержимым (IP-телефония, видео- и аудиоконференции, мгновенные сообщения, онлайн-игры). Его уникальность в том, что он позволяет открывать сколько угодно сеансов связи одновременно, а скорость обработки информации значительно выше, чем при альтернативных схемах. Более того, SIP — это еще и высокий уровень безопасности благодаря шифрованию входных и выходных каналов связи.	
html	HTML, аш ти эм эль, аш ти эм эл, эйч ти эм эль, хтмл, аш-ти-эм-эль, эйч ти э мэйл	от англ. Hypertext Markup Language — «язык гипертекстовой разметки»	— это стандартизированный язык гипертекстовой разметки документов для просмотра веб-страниц в браузере. Веб-браузеры получают HTML документ от сервера по протоколам HTTP/HTTPS или открывают с локального диска, далее интерпретируют код в интерфейс, который будет отображаться на экране монитора. Элементы HTML являются строительными блоками HTML страниц. С помощью HTML разные конструкции, изображения и другие объекты, такие как интерактивная веб-форма, могут быть встроены в отображаемую страницу. HTML предоставляет средства для создания заголовков, абзацев, списков, ссылок, цитат и других элементов. 	
css	CSS, си эс эс, си-эс-эс, сиэсэс, каскадные таблицы стилей, Cascading Style Sheets, язык стилей	от англ. Cascading Style Sheets — «каскадные таблицы стилей‎‎»	— это язык стилей с помощью которого придают стиль отображения HTML контенту. Например, цвет фону и шрифту. CSS используется для определения стилей (правил) оформления документов — включая дизайн, вёрстку и вариации макета для различных устройств и размеров экрана. У такого способа форматирования несколько достоинств: теги не дублируются, документ проще обслуживать, внешний вид всего сайта можно изменить централизованно, а не корректировать форматирование каждой странички.	
postgresql	PostgreSQL, Пост-Грэс-Кью-Эл, пост грэ эс кью эл, sql, СУБД		— это объектно-реляционная система управления базами данных, наиболее развитая из открытых СУБД в мире. Имеет открытый исходный код и является альтернативой коммерческим базам данных. Преимущества PostgreSQL — наличие бесплатной версии, функциональность и высокая скорость работы (для реляционных баз). Данная СУБД может быть установлена на большинство популярных операционных систем — Linux, Windows, BSD, MacOS, Solaris. Доступны различные способы установки, например, из репозитория, в виде Docker-контейнера, установщик (для Windows) или сборка из исходников.	
mysql	MySQL, май эс кью эл, sql, эс ку эл, СУБД, базы данных		— это свободная реляционная система управления базами данных. Под словом «свободная» подразумевается ее бесплатность, под «реляционная» – работа с базами данных, основанных на двумерных таблицах. Преимущества MySQL: корректное распределенное хранение данных на сервере, быстрый поиск нужной информации в базе с помощью языка SQL, идентификация и обработка отдельных данных, их преобразование и отправка, создание, редактирование и удаление записей, которые есть в базе.	
nosql	NoSQL, ноу эс кью эл, sql, но эс ку эл, СУБД, базы данных, БД, бд	от англ. not only SQL	— это нереляционные базы данных. NoSQL имеет нелинейную структуру и не может запрашиваться с помощью SQL, распространенного языка запросов программирования. Базы данных NoSQL используются крупными компаниями и могут поддерживать большинство требований облачных приложений, их часто проще масштабировать и получать к ним глобальный доступ. При работе с бизнес-приложениями NoSQL может предложить ряд преимуществ технологическим компаниям или другим компаниям, которые быстро растут или расширяются. В SQL-базах всё просто: есть таблицы, и есть связи между ними. Все данные хранятся в этих таблицах. В NoSQL-базах всё иначе — там может не быть таблиц, а вместо них — свои модели данных. Каждая из них подходит под свои задачи, универсальной нет. 	
java	джава, ява, Java, язык программирования, жава		— это широко используемый язык программирования для написания интернет-приложений. Это быстрый, безопасный и надежный язык программирования для всего: от мобильных приложений и корпоративного ПО до приложений для работы с большими данными и серверных технологий. Java представляет собой объектно-ориентированный язык программирования, а JavaScript - это объектно-ориентированный язык создания сценариев. Java используется для создания приложений, которые запускаются на виртуальных машинах или в браузерах, а код JavaScript выполняется только в браузере.	
scala	скала, Scala, язык программирования, скэла		— это мультипарадигмальный язык программирования, спроектированный кратким и типобезопасным для простого и быстрого создания компонентного программного обеспечения, сочетающий возможности функционального и объектно-ориентированного программирования.	
javascript	джаваскрипт, яваскрипт, JavaScript, JS, джэй эс, язык программирования		— это язык программирования, который позволяет создать динамически обновляемый контент, управляет мультимедиа, анимирует изображения, и т.д. Обычно он применяется в качестве встраиваемого инструмента для программного доступа к различным объектам приложений. С точки зрения веб-разработки, без знаний этой технологии невозможно заниматься созданием современных интерактивных сайтов. С помощью этого языка реализуется возможность реакции страницы или отдельных ее элементов на действия посетителя. Сегодня JavaScript является базовым языком программирования для браузеров. Он полностью совместим с операционными системами Windows, Linux, Mac OS, а также всеми популярными мобильными платформами. 	
язык программирования	язык, programming language, Язык программирования, programming		— это формальный язык, который предназначен для записи компьютерных программ. Язык программирования определяет набор лексических, синтаксических и семантических правил, определяющих внешний вид программы и действия, которые выполнит исполнитель под её управлением. Язык программирования отличается от естественных языков тем, что предназначен для управления ЭВМ, в то время как естественные языки используются, прежде всего, для общения людей между собой.	
